distrito,cve_umun
2,09015
16,09016
25,09005
105,15057
1,09015
10,09014
51,09003
4,09017
3,09015
59,09004
46,09003
8,09015
21,09016
110,15057
26,09005
57,09010
9,09014
44,09012
56,09010
15,09014
33,09017
20,09002
35,09017
28,09005
5,09017
48,09003
12,09006
108,15057
52,09008
31,09005
58,09016
6,09015
999,15024
39,09007
64,09012
102,15037
17,09016
50,09012
128,15024
27,09005
112,15104
53,09010
84,09007
7,09015
49,09003
888,13048
182,15058
54,09010
47,09003
23,09005
19,09002
14,09014
29,09005
83,09007
68,09013
177,15058
101,15057
69,09013
11,09014
67,09012
152,15058
161,15033
126,15121
32,09005
40,09007
153,15058
45,09003
160,15033
30,09005
167,15081
171,15092
109,15057
43,09007
13,09007
34,09017
77,09007
38,09006
37,09006
36,09017
115,15104
141,15020
66,09012
113,15104
159,15033
24,09005
150,15033
63,09008
157,15033
178,15058
137,15108
106,15057
155,15033
186,15031
143,15020
18,09002
147,15033
111,15013
166,15081
151,15033
164,15081
154,15033
100,15057
60,09004
189,15029
114,15104
116,15013
41,09007
205,15025
85,09007
71,09009
42,09007
78,09007
207,15068
198,15039
82,09007
192,15070
70,09013
196,15039
197,15039
73,09007
55,09010
124,15121
65,09012
179,15058
149,15033
300,13069
158,15033
156,15033
81,09007
117,15013
127,15121
181,15058
62,09008
120,15060
107,15057
206,15083
74,09011
183,15058
135,15120
165,15081
139,15104
203,15025
130,15109
121,15060
75,09011
118,15013
61,09010
22,09005
193,15070
188,15031
123,15121
80,09007
104,15057
195,15039
190,15029
174,15099
79,09007
76,09011
133,15035
72,09013
162,15033
199,15122
202,15025
142,15020
194,15039
146,15033
180,15058
122,15095
103,15057
138,15109
136,15108
176,15058
144,15044
148,15033
125,15121
191,15031
129,15109
172,15099
145,15109
131,15024
140,15104
168,15033
169,15033
163,15033
170,15100
175,15099
185,15031
200,15122
184,15058
173,15099
134,15010
187,15031
204,15025
201,15122
119,15060
132,15091
